model_name,auc_roc,auc_pr,log_loss,test_precision,test_recall,test_f1,test_accuracy,timing_data_prep,timing_fit,timing_predict,timing_total_seconds,timing_solve,timing_get_hamiltonian,timing_preprocessing,timing_run,timing_postprocessing
lda high shrink - baseline,0.9643468468468468,0.9633853581761275,0.4374618142117096,1.0,0.7972972972972973,0.8872180451127819,0.9330357142857143,3.9329913999999917,0.011952500000006694,0.001990200000363984,3.9469341000003624,,,,,
lda high shrink - best combo,0.9485352112676056,0.842543683506595,0.11306486648219075,0.941747572815534,0.6830985915492958,0.7918367346938775,0.9837683004455761,2.3330823000001146,0.01605199999994511,0.0043888000000151806,2.353523100000075,,,,,
lda high shrink - chronological split,0.9258472969899157,0.9181456493867859,0.7719420475825459,1.0,0.5950413223140496,0.7461139896373057,0.890625,1.24837639999987,0.002804100000048493,0.0011611999998422107,1.2523416999997607,,,,,
lda high shrink - class ratio 10,0.9385895041382847,0.8863822518179516,0.2088070880531449,0.9807692307692307,0.6891891891891891,0.8095238095238095,0.9704433497536946,1.2159291000002668,0.010253999999804364,0.0022896999998920364,1.2284727999999632,,,,,
lda high shrink - drop dupes,0.9538732394366197,0.9520150726680673,0.5944089129580903,1.0,0.7464788732394366,0.8548387096774194,0.918552036199095,2.028687600000012,0.002995300000293355,0.0009012000000439002,2.0325841000003493,,,,,
lda high shrink - full pool,0.9472109118908463,0.5910391018814435,0.01210555836635861,0.6176470588235294,0.7094594594594594,0.660377358490566,0.998735999438222,1.8008328999999321,0.4115860000001703,0.13022229999978663,2.342641199999889,,,,,
lda high shrink - large sample,0.9575743243243242,0.8910852373189091,0.09010336260106094,0.981651376146789,0.722972972972973,0.8326848249027238,0.9863405336721728,1.2732260000002498,0.01717449999978271,0.0038765999997849576,1.2942770999998174,,,,,
lda high shrink - log amount,0.9598198198198198,0.9593231110396158,0.4396658094159051,1.0,0.7972972972972973,0.8872180451127819,0.9330357142857143,1.3264429999999265,0.0036700000000564614,0.0010728000002018234,1.3311858000001848,,,,,
lda high shrink - natural test,0.9490180343893926,0.5658912029120649,0.01342740373877956,0.535,0.722972972972973,0.6149425287356323,0.9984317030066828,1.4352556999997432,0.0035404999998718267,0.027048600000398437,1.4658448000000135,,,,,
lda high shrink - scaled minmax,0.9647522522522523,0.9635457494298125,0.40684804321355345,1.0,0.7972972972972973,0.8872180451127819,0.9330357142857143,1.512601000000359,0.0038663000000269676,0.0014006999999764957,1.5178680000003624,,,,,
knn - ball tree,0.9703603603603603,0.9684233644857289,0.363938157797148,0.9366197183098591,0.8986486486486487,0.9172413793103449,0.9464285714285714,1.5546730999999454,0.005331600000317849,0.07580440000037925,1.6358091000006425,,,,,
knn - brute force,0.9703603603603603,0.9684233644857289,0.363938157797148,0.9366197183098591,0.8986486486486487,0.9172413793103449,0.9464285714285714,1.2747153999998773,0.0019023999998353247,0.013707499999782158,1.2903252999994947,,,,,
knn - chebyshev dist,0.952972972972973,0.9438906044744481,0.45993993828928176,0.8992805755395683,0.8445945945945946,0.8710801393728224,0.9174107142857143,1.235809099999642,0.0015501000002586807,0.05402770000000601,1.2913868999999067,,,,,
knn - few neighbors,0.9646283783783783,0.9662353864588453,0.7973737974795359,0.9236111111111112,0.8986486486486487,0.9109589041095891,0.9419642857142857,1.1815122999996674,0.0015965000002324814,0.008914999999888096,1.192023799999788,,,,,
knn - kd tree,0.9703603603603603,0.9684233644857289,0.363938157797148,0.9366197183098591,0.8986486486486487,0.9172413793103449,0.9464285714285714,1.2718549999999595,0.006556100000125298,0.085832599999776,1.3642436999998608,,,,,
knn - large leaf,0.9703603603603603,0.9684233644857289,0.363938157797148,0.9366197183098591,0.8986486486486487,0.9172413793103449,0.9464285714285714,1.2803914000000987,0.0019436000002315268,0.013509400000202731,1.295844400000533,,,,,
knn - manhattan dist,0.971936936936937,0.9711852611826142,0.41705565593299504,0.9710144927536232,0.9054054054054054,0.937062937062937,0.9598214285714286,1.2061350000003586,0.0017542000000503322,0.025722400000177004,1.233611600000586,,,,,
knn - many neighbors,0.9758783783783783,0.9719536146416075,0.1630108314483094,0.9922480620155039,0.8648648648648649,0.924187725631769,0.953125,1.152520000000095,0.0017207999999300228,0.03199229999972886,1.186233099999754,,,,,
knn - small leaf,0.9703603603603603,0.9684233644857289,0.363938157797148,0.9366197183098591,0.8986486486486487,0.9172413793103449,0.9464285714285714,1.2961931999998342,0.0014149000003271794,0.01403249999975742,1.3116405999999188,,,,,
knn - uniform weights,0.9690427927927928,0.9673540022388618,0.36717278047867025,0.9295774647887324,0.8918918918918919,0.9103448275862069,0.9419642857142857,1.3484167000001435,0.001726199999666278,0.015841899999941234,1.365984799999751,,,,,
lda - auto shrink,0.9612837837837839,0.9597973999764886,0.20546871724952523,0.948905109489051,0.8783783783783784,0.9122807017543859,0.9441964285714286,1.302462199999809,0.004236499999933585,0.001069299999926443,1.307767999999669,,,,,
lda - eigen shrink,0.9612837837837839,0.9597973999764886,0.2054687172495249,0.948905109489051,0.8783783783783784,0.9122807017543859,0.9441964285714286,1.3320189000000937,0.012438200000360666,0.0014025000000401633,1.3458596000004945,,,,,
lda - eigen solver,0.9602027027027027,0.9584311822919253,0.22106639550575505,0.948905109489051,0.8783783783783784,0.9122807017543859,0.9441964285714286,1.1860314000000471,0.003837400000065827,0.0011085999999522755,1.1909774000000652,,,,,
