model_name,auc_roc,auc_pr,log_loss,test_precision,test_recall,test_f1,test_accuracy,timing_data_prep,timing_fit,timing_predict,timing_total_seconds,timing_solve,timing_get_hamiltonian
SMU ensemble classical_qboost knn LBFGSB rs 1,0.9666513515097839,0.7623453479600961,0.05926131829619408,0.32972972972972975,0.8243243243243243,0.47104247104247104,0.9967931837599335,4.43108459999894,,492.17021560000103,912.5103686000002,0.2312151999994967,415.67785320000075
SMU ensemble classical_qboost knn LBFGSB rs 102,0.9808972991984892,0.8077681528355907,0.06503289192914963,0.4568345323741007,0.8581081081081081,0.596244131455399,0.9979869620682794,2.341360299998996,,837.8825825999993,1611.2519100999962,0.0937073999994027,770.9342597999985
SMU ensemble classical_qboost knn LBFGSB rs 3756,0.982346007417817,0.8344575542688669,0.06715666502714157,0.5198412698412699,0.8851351351351351,0.655,0.9983848881710614,3.1571917999990546,,782.0197893999994,1377.8615114999993,0.06718670000009297,592.6173436000008
SMU ensemble classical_qboost knn LBFGSB rs 42,0.9666513515097839,0.7623453479600961,0.05926131829619408,0.32972972972972975,0.8243243243243243,0.47104247104247104,0.9967931837599335,2.909494100000302,,474.6178333000007,991.9191683000008,0.039274299999306095,514.3525666000005
SMU ensemble classical_qboost knn LBFGSB rs 4563,0.971041678879184,0.80156139945193,0.06454391777515411,0.45195729537366547,0.8581081081081081,0.592074592074592,0.9979518509415634,4.09550450000097,,642.4719278000011,1079.646682300001,0.06282479999936186,433.0164251999995
SMU ensemble classical_qboost knn LBFGSB rs 513,0.9668549374745518,0.7447579383044859,0.06660479307174683,0.3967741935483871,0.831081081081081,0.5371179039301309,0.9975188137120653,2.7392193999985466,,451.0364434000003,896.0741959999978,0.02744629999870085,442.2710869000002
SMU ensemble classical_qboost knn LBFGSB rs 95752,0.9803457951180561,0.8177325528894961,0.0642368495464325,0.5060728744939271,0.8445945945945946,0.6329113924050633,0.9983029622087239,1.7965033000000403,,582.4266065000011,1089.2270065000012,0.041722599999047816,504.962174100001
SMU ensemble classical_qboost xgb LBFGSB rs 1,0.9787225337184302,0.72463937807059,0.08389373123645782,0.1064516129032258,0.8918918918918919,0.19020172910662825,0.9868450311903842,4.067391100000009,,40.52996890000003,303.0638459000001,0.09766300000001138,258.36882290000005
SMU ensemble classical_qboost xgb LBFGSB rs 102,0.9858408734075537,0.6866187087497284,0.08305207639932632,0.0950354609929078,0.9054054054054054,0.17201540436456997,0.9849022155120958,3.162570999999957,,40.96009090000007,306.30691620000005,0.04982849999998962,262.13442580000003
SMU ensemble classical_qboost xgb LBFGSB rs 3756,0.9842681916338052,0.7338663716546115,0.0868433341383934,0.11299915038232795,0.8986486486486487,0.2007547169811321,0.9876057722692321,2.2478452999999945,,42.57356370000002,317.6524634,0.03241830000001755,272.79863609999995
SMU ensemble classical_qboost xgb LBFGSB rs 42,0.9643276197235984,0.6401038879744748,0.07772700488567352,0.0948469006721434,0.8581081081081081,0.17081371889710828,0.9855693269197009,2.89432469999997,,39.07232799999997,326.24284049999983,0.030177099999946222,284.24601069999994
SMU ensemble classical_qboost xgb LBFGSB rs 4563,0.9664936317993356,0.6658218121079781,0.08616306632757187,0.08233058898036733,0.8783783783783784,0.15055008685581936,0.9828306590358484,2.40247219999992,,42.9759669,303.5404979,0.03082429999994929,258.1312345000001
SMU ensemble classical_qboost xgb LBFGSB rs 513,0.9645963215105603,0.6512864390612467,0.08197981864213943,0.0970724191063174,0.8513513513513513,0.17427385892116184,0.9860257715670095,2.4989008000000013,,36.97924039999998,299.9788134999999,0.03946849999988444,260.4612038
SMU ensemble classical_qboost xgb LBFGSB rs 95752,0.9768092217312571,0.7234599808107476,0.08297145366668701,0.09689349112426035,0.8851351351351351,0.17466666666666664,0.9855108083751741,2.3674740999999813,,35.87079689999973,288.36089400000014,0.04529720000027737,250.07732580000015
